,Title,Summary
0,dâng hương tưởng niệm các vua hùng nhân dịp lễ giỗ tổ hùng vương,"sáng ngày 29/4 (ngày 10-3 âm lịch), đoàn lãnh đạo trường, cựu giáo chức và cán bộ công nhân viên của trường đại học bách khoa đã tổ chức dâng hương tưởng niệm các vua hùng."
1,bổ nhiệm lại pgs. ts. mai thanh phong giữ chức hiệu trưởng trường đại học bách khoa - đhqg-hcm,"căn cứ sự tín nhiệm của tập thể lãnh đạo đhqg-hcm, của đảng ủy, hội đồng trường, ban giám hiệu và toàn thể viên chức trường đại học bách khoa, vừa qua hội đồng đại học đhqg-hcm đã có nghị quyết công nhận và giám đốc đhqg-hcm đã có quyết định bổ nhiệm lại hiệu trưởng trường đại học bách khoa."
2,khởi nghiệp đổi mới sáng tạo từ những bước chân đầu tiên trên ghế nhà trường,"với mục tiêu phát triển thành mô hình trường đại học khởi nghiệp, sinh viên trường đại học bách khoa có nhiều cơ hội tiếp cận hơn với các hoạt động khởi nghiệp đổi mới sáng tạo ngay từ những năm đầu tiên bước chân vào đại học."
3,tập đoàn đèo cả và trường đại học bách khoa ký kết hợp tác chiến lược,"ngày 23/4, tại thành phố đà nẵng, trong khuôn khổ buổi lễ khánh thành trung tâm huấn luyện thực hành đèo cả, tập đoàn đèo cả và trường đại học bách khoa - đhqg-hcm đã ký thỏa thuận hợp tác ."
4,nữ nghiên cứu sinh trường đh bách khoa tốt nghiệp với 6 bài báo web of science/scopus trong 4 năm,"tháng 4 năm 2023, trường đại học bách khoa tổ chức lễ tốt nghiệp cho 22 tiến sĩ. có nữ tân tiến sĩ công bố 6 bài báo web of science/scopus trong 4 năm."
5,đội thi trường đh bách khoa đạt 20 giải cá nhân và giải nhì toàn đoàn tại hội thi olympic hóa học sinh viên toàn quốc lần thứ xi,"đội thi trường đại học bách khoa mang về kết quả ấn tượng với 20 giải cá nhân, gồm 4 giải nhất, 12 giải nhì, 4 giải ba và đoạt giải nhì toàn đoàn bảng b."
6,"hơn 1400 nghiên cứu sinh, học viên cao học, sinh viên tốt nghiệp tháng 4/2023","ngày 21-22/4, trường đại học bách khoa - đại học quốc gia tp.hcm tổ chức lễ tốt nghiệp tháng 4/2023, công nhận và trao bằng cho 22 tiến sĩ, 194 thạc sĩ và 1190 tân kỹ sư, kiến trúc sư, cử nhân."
7,giáo sư trần văn thọ - giáo sư danh dự đại học waseda đến thăm trường đại học bách khoa,"sáng 13/4, trường đại học bách khoa vinh dự đón tiếp giáo sư trần văn thọ - gs danh dự đại học waseda, tokyo; ủy viên hội đồng trường trường đại học công nghệ nagaoka, nhật bản đến thăm và làm việc."
8,đội tuyển bách khoa đoạt 10 giải tại olympic toán học sinh viên và học sinh 2023,đội tuyển trường đại học bách khoa - đhqg-hcm gồm 7 sinh viên đã xuất sắc nhận về 10 giải tại cuộc thi olympic toán học sinh viên và học sinh toàn quốc 2023.
9,"hội thảo “tổng quan về năng suất chất lượng và áp dụng năng suất trong các trường đại học, cao đẳng”","tổng cục tiêu chuẩn đo lường chất lượng phối hợp với trường đại học bách khoa - đhqg-hcm tổ chức hội thảo “tổng quan về năng suất chất lượng và áp dụng năng suất trong các trường đại học, cao đẳng” vào chiều ngày 7/4."
